trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.005223065838955,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-120.75995916312436,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-79.35593827618098,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-271.1550312597565,"{0: 8, 1: 3, 2: 9, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-79.6797122269057,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,7,-94.46678020480246,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-205.92392584512584,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-137.64727669696657,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-93.41588157472677,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,0,-266.35363545435644,"{0: 19, 1: 2, 2: 8, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-280.01427902186913,"{0: 13, 1: 3, 2: 6, 3: 5, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-177.28634320559308,"{0: 11, 1: 0, 2: 3, 3: 4, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-57.50070755221034,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-226.09764946821693,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,15,1.1436062343232138,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-70.76706597232933,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,11,1.1296374534502855,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-154.90660015181166,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",25,3,-115.18897361579391,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
