trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.35407484946181,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-141.13430149873855,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-112.18634233270092,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-105.04973097530774,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-205.2254663192012,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-90.82449870887476,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-41.033407378322885,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-144.32232286366303,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-93.08111735010472,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-108.62604982560309,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-163.18688413132892,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-235.31146731879485,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-106.89946779321266,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-134.4659152586612,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-84.13894905754641,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-47.37233516447353,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-73.47788938056233,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-118.79697902276314,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",20,14,-1.4874680738933836,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-101.68181534146746,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,9,-49.00419444666595,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-122.41312781095908,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,0,-79.18959634806482,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-121.47674564623398,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-59.06653208860863,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-173.08032819439077,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,4,-99.57992047496036,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-22.481729416031605,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,0,-32.19722055324429,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-120.33401197274404,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-94.98016977066659,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.7334469562242892}",30,0,-52.52540670675841,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,0,-186.88758628755912,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-146.39240158557183,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7117703227626097}",30,0,-24.55686119400651,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-107.13817185653855,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.697676326071031}",30,9,-24.09883741259373,"{0: 16, 1: 3, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,10,17.485884294697957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,0,-135.10402104140394,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,0,-17.367019686639637,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,9,4.766012008058817,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,14,10.40696194822038,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,19,-43.73556928039981,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
