trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.26620572425216,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-121.73690540595406,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-241.13235523574667,"{0: 13, 1: 4, 2: 8, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",35,0,-102.38695908005712,"{0: 25, 1: 2, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-121.01944135685346,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-75.72790434568233,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-85.75391943476025,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-94.58581435395114,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-49.55914323172273,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-141.8243509259843,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,11,-72.14580547857757,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-46.96846252486994,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-213.75791581991612,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-85.65282087940699,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-86.00119515580846,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-207.04827566049678,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-152.91013335068905,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-58.056041661216355,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-147.21289998697992,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-43.710527514314656,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-155.160375571577,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-95.93667650149251,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-267.1150888818331,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-108.32573905643275,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-147.85640098468613,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,13,-33.93836474784681,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-115.48497568912984,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,11,-111.24786050685492,"{0: 6, 1: 2, 2: 3, 3: 2, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-64.85568646038283,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-42.153898909966735,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
